company,status,start_time,end_time,source,title,download_url,pdf_path,file_size_mb,page_count,passed_size_rule,passed_page_rule,error
三联锻造,success,2026/6/4 16:23,2026/6/4 16:23,cninfo,三联锻造首次公开发行股票并在主板上市招股说明书,http://static.cninfo.com.cn/finalpage/2024-12-26/1222144560.PDF,C:\Users\lenovo\Desktop\saasnexus-6a204b3a-bd10-8326-af70-37054b68606d_be1c6f7e-bb6f-4c0d-b9f4-b46ea59c4535_mnt_data_week1_download_pdfs_package\downloads\prospectus_pdfs\三联锻造_招股说明书_2026.pdf,7.48,476,TRUE,TRUE,
友升股份,success,2026/6/4 16:23,2026/6/4 16:23,cninfo,友升股份首次公开发行股票并在主板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-09-18/1224667002.PDF,C:\Users\lenovo\Desktop\saasnexus-6a204b3a-bd10-8326-af70-37054b68606d_be1c6f7e-bb6f-4c0d-b9f4-b46ea59c4535_mnt_data_week1_download_pdfs_package\downloads\prospectus_pdfs\友升股份_招股说明书_2026.pdf,5.72,398,TRUE,TRUE,
黄山谷捷,success,2026/6/4 16:23,2026/6/4 16:24,cninfo,首次公开发行股票并在创业板上市招股说明书,http://static.cninfo.com.cn/finalpage/2024-12-19/1222066314.PDF,C:\Users\lenovo\Desktop\saasnexus-6a204b3a-bd10-8326-af70-37054b68606d_be1c6f7e-bb6f-4c0d-b9f4-b46ea59c4535_mnt_data_week1_download_pdfs_package\downloads\prospectus_pdfs\黄山谷捷_招股说明书_2026.pdf,5.44,343,TRUE,TRUE,
云汉芯城,success,2026/6/4 16:24,2026/6/4 16:24,cninfo,首次公开发行股票并在创业板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-09-25/1224679402.PDF,C:\Users\lenovo\Desktop\saasnexus-6a204b3a-bd10-8326-af70-37054b68606d_be1c6f7e-bb6f-4c0d-b9f4-b46ea59c4535_mnt_data_week1_download_pdfs_package\downloads\prospectus_pdfs\云汉芯城_招股说明书_2026.pdf,10.89,443,TRUE,TRUE,
赛分科技,success,2026/6/4 16:24,2026/6/4 16:24,cninfo,赛分科技首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,C:\Users\lenovo\Desktop\saasnexus-6a204b3a-bd10-8326-af70-37054b68606d_be1c6f7e-bb6f-4c0d-b9f4-b46ea59c4535_mnt_data_week1_download_pdfs_package\downloads\prospectus_pdfs\赛分科技_招股说明书_2026.pdf,8.09,468,TRUE,TRUE,
影石创新,success,2026/6/4 16:24,2026/6/4 16:24,cninfo,影石创新首次公开发行股票并在科创板上市招股说明书,http://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,C:\Users\lenovo\Desktop\saasnexus-6a204b3a-bd10-8326-af70-37054b68606d_be1c6f7e-bb6f-4c0d-b9f4-b46ea59c4535_mnt_data_week1_download_pdfs_package\downloads\prospectus_pdfs\影石创新_招股说明书_2026.pdf,9.58,555,TRUE,TRUE,
三协电机,success,2026/6/4 16:24,2026/6/4 16:24,cninfo,招股说明书,http://static.cninfo.com.cn/finalpage/2025-08-22/1225288042.PDF,C:\Users\lenovo\Desktop\saasnexus-6a204b3a-bd10-8326-af70-37054b68606d_be1c6f7e-bb6f-4c0d-b9f4-b46ea59c4535_mnt_data_week1_download_pdfs_package\downloads\prospectus_pdfs\三协电机_招股说明书_2026.pdf,6.1,382,TRUE,TRUE,
星图测控,success,2026/6/4 16:24,2026/6/4 16:24,cninfo,招股说明书,http://static.cninfo.com.cn/finalpage/2025-11-03/1225287902.PDF,C:\Users\lenovo\Desktop\saasnexus-6a204b3a-bd10-8326-af70-37054b68606d_be1c6f7e-bb6f-4c0d-b9f4-b46ea59c4535_mnt_data_week1_download_pdfs_package\downloads\prospectus_pdfs\星图测控_招股说明书_2026.pdf,6.76,365,TRUE,TRUE,
